dataLabel,cycle,insertions(fwd),insertions(rev),deletions(fwd),deletions(rev)
IC,1,0,0,166,227
IC,2,22,57,278,439
IC,3,171,408,635,1163
IC,4,416,915,930,2262
IC,5,740,1960,1224,3459
IC,6,848,2088,1404,3861
IC,7,1012,2437,1484,4057
IC,8,1073,2540,1579,4382
IC,9,1253,2702,1714,4361
IC,10,1249,2829,1789,4327
IC,11,1339,2891,1791,4344
IC,12,1410,2991,1846,4472
IC,13,1438,3119,1991,4594
IC,14,1551,3340,2110,4614
IC,15,1632,3256,2124,4674
IC,16,1691,3316,2246,4778
IC,17,1769,3468,2346,4959
IC,18,1794,3661,2460,5090
IC,19,1899,3601,2661,5208
IC,20,2038,3691,2719,5426
IC,21,2534,3637,2726,5439
IC,22,3527,3730,2871,5525
IC,23,7895,3756,3027,5590
IC,24,10206,3923,3215,5744
IC,25,5137,3927,3380,5901
IC,26,4027,4131,3527,5723
IC,27,3523,4264,3642,5600
IC,28,3210,4541,3599,5631
IC,29,3207,4301,3647,5735
IC,30,3222,4284,3622,5591
IC,31,3224,4219,3611,5373
IC,32,3629,4319,3598,5165
IC,33,3357,4303,3503,5018
IC,34,3255,4384,3545,5216
IC,35,3310,4256,3696,5131
IC,36,3159,4158,3747,5462
IC,37,3006,4129,3975,5311
IC,38,2794,4231,3857,5200
IC,39,2992,4206,3804,5154
IC,40,2912,4056,3722,5272
IC,41,2974,4053,3776,5249
IC,42,2914,3822,3768,5283
IC,43,3047,4035,3689,5325
IC,44,3070,3916,3615,5376
IC,45,2999,3787,3505,5408
IC,46,2998,3672,3676,5368
IC,47,3093,3557,3624,5585
IC,48,2970,3378,3426,5706
IC,49,3014,3367,3577,5797
IC,50,3025,3467,3583,5494
IC,51,3002,3445,3715,5170
IC,52,2970,3471,3611,5105
IC,53,2971,3426,3576,4950
IC,54,3015,3422,3425,4852
IC,55,2855,3309,3552,4561
IC,56,2817,3270,3622,4487
IC,57,2831,3240,3400,4364
IC,58,2770,3208,3495,4223
IC,59,2746,3075,3336,4246
IC,60,2632,3028,3348,4025
IC,61,2642,2937,3213,3867
IC,62,2548,2697,3224,3911
IC,63,2521,2686,3052,3713
IC,64,2508,2755,3189,3511
IC,65,2368,2757,3054,3315
IC,66,2274,3926,2910,3117
IC,67,2176,2629,2691,2960
IC,68,2089,2283,2450,2931
IC,69,1850,2036,2238,2537
IC,70,1649,1850,1531,1445
IC,71,1170,989,911,966
IC,72,489,304,95,89
IC,73,193,149,59,53
IC,74,63,24,35,40
